movie_year;movie_title;bechdel_test;bechdel_test_binary;budget;US_profit;Int_Profit
2013;Pain & Gain;2;0;26000000;49875291;81275291
2013;Parker;5;1;35000000;17616641;46346651
2013;Peeples;4;0;15000000;9177065;9177065
2013;Percy Jackson: Sea of Monsters;5;1;90000000;68559554;200859554
2013;Prisoners;5;1;46000000;61002302;113402302
2013;R.I.P.D.;2;0;130000000;33618855;79019947
2013;Red 2;5;1;84000000;53262560;137162560
2013;Riddick;2;0;38000000;42025135;92425135
2013;Runner Runner;1;0;30000000;19316646;62616646
2013;Rush;2;0;38000000;26947624;43047624
2013;Safe Haven;5;1;28000000;71399120;93943623
2013;Saving Mr. Banks;5;1;35000000;82834332;100734332
2013;Side Effects;5;1;30000000;32172757;60288363
2013;Star Trek Into Darkness;2;0;190000000;228778661;466978661
2013;Texas Chainsaw 3D;5;1;20000000;34341945;39093317
2013;The Big Wedding;5;1;32500000;21819348;35770721
2013;The Book Thief;5;1;19000000;21345525;62045525
2013;The Call;5;1;13000000;51872378;58938768
2013;The Conjuring;5;1;20000000;137400141;318000141
2013;The Counselor;5;1;25000000;16973715;70373715
2013;The Croods;3;0;135000000;187168425;573068425
2013;The Family;3;0;30000000;36918811;51078541
2013;The Fifth Estate;2;0;26000000;3254172;6154172
2013;The Frozen Ground;1;0;19200000; ; 
2013;The Great Gatsby;4;0;190000000;144840419;351040419
2013;The Hangover part 3;3;0;103000000;112200072;362000072
2013;The Heat;5;1;43000000;159581587;230781587
2013;The Hobbit: The Desolation of Smaug;2;0;250000000;257397516;937397516
2013;The Host;4;0;50000000;26623701;58188384
2013;The Hunger Games: Catching Fire;5;1;130000000;424088260;857088260
2013;The Incredible Burt Wonderstone;2;0;32000000;22537881;24255957
2013;The Internship;2;0;58000000;44672764;93672764
2013;The Last Exorcism Part II;5;1;4000000;15179303;18541236
2013;The Lone Ranger;2;0;275000000;89289910;259989910
2013;The Mortal Instruments: City of Bones;5;1;60000000;31165421;75965567
2013;The Purge;4;0;3000000;64473115;91100541
2013;The Smurfs 2;5;1;110000000;71017784;348545841
2013;The To Do List;5;1;1500000;3491669;3491669
2013;The Way Way Back;5;1;5000000;21502690;26161443
2013;The Wolf of Wall Street;2;0;100000000;115702857;365702857
2013;The Wolverine;5;1;115000000;132556852;416456852
2013;The World's End;3;0;20000000;26004851;46578821
2013;This Is the End;2;0;32000000;101470202;126294264
2013;Thor: The Dark World;4;0;170000000;204674790;631674790
2013;Trance;1;0;16000000;2322593;22594052
2013;Turbo;4;0;135000000;83028130;283828130
2013;Warm Bodies;3;0;30000000;66380662;116643610
2013;We're the Millers;5;1;37000000;150394119;270000119
2013;White House Down;3;0;150000000;73103784;205440387
2013;World War Z;4;0;190000000;202359711;539559711
2012;Abraham Lincoln: Vampire Hunter;4;0;68488103;38068365;116804318
2012;Act of Valor;1;0;12175663;71037735;83704673
2012;Amour;4;0;9841994;6837603;26295088
2012;Anna Karenina;3;0;49717290;13003980;71771007
2012;Argo;5;1;45151416;138016721;224540219
2012;Battleship;2;0;212059460;66190353;308594933
2012;Beasts of the Southern Wild;4;0;1826349;12983057;21388640
2012;Blue Like Jazz;5;1;1217566;603728;603728
2012;Brave;5;1;187708135;240755653;562725176
2012;Bullet to the Head;1;0;55805121;9628746;13760036
2012;Chernobyl Diaries;2;0;1014639;18384886;38951995
2012;Chronicle;2;0;12175663;65520463;128935373
2012;Cloud Atlas;5;1;103493134;27505098;127863295
2012;Contraband;5;1;25365964;67501874;99847390
2012;Django Unchained;2;0;101463857;165188672;431600549
2012;Flight;4;0;31453796;95145068;164140491
2012;Frankenweenie;1;0;39570904;35804351;82338719
2012;Hannibal;5;1;88273555;167508980;355225246
2012;Hotel Transylvania;5;1;86244278;150484138;364480509
2012;Jack Reacher;2;0;60878314;81242857;220552732
2012;Jagten;3;0;3500503;697244;697244
2012;John Carter;5;1;279025606;74128153;286917566
2012;Killing Them Softly;1;0;15219578;15164322;37783896
2012;Les Miserables;5;1;65951507;150988132;448493475
2012;Life of Pi;2;0;121756628;126816653;616887080
2012;Lincoln;5;1;65951507;184875236;276997302
2012;Madagascar 3: Europe's Most Wanted;3;0;147122592;219559143;757855127
2012;Men in Black III;2;0;218147292;181641463;633967639
2012;Mirror Mirror;4;0;86244278;65885725;171080229
2012;Moonrise Kingdom;5;1;16234217;46178703;64949517
2012;Much Ado About Nothing;4;0;8117109;22879428;22879428
2012;One for the Money;5;1;42614820;26801198;36727096
2012;Paranormal Activity 4;5;1;5073193;54689359;144884139
2012;ParaNorman;2;0;60878314;56822855;109742304
2012;Parental Guidance;5;1;25365964;78398378;121927729
2012;People Like Us;5;1;16234217;12613776;12613776
2012;Pitch Perfect;5;1;17248856;65952616;117019460
2012;Premium Rush;5;1;35512350;20572249;31852752
2012;Red Dawn;2;0;65951507;45462690;48869204
2012;Red Tails;3;0;58849037;50606496;51102777
2012;Rise of the Guardians;2;0;147122592;104926572;311393491
2012;Rock of Ages;5;1;71024700;39082470;50852278
2012;Safe;2;0;33483073;17393015;42102643
2012;Safety Not Guaranteed;5;1;760979;4069672;4477791
2012;Seven Psychopaths;2;0;13697621;15243980;23836212
2012;Silent Hill: Revelation 3D;5;1;20292771;17786836;48646439
2012;Silver Linings Playbook;5;1;21307410;134026609;230644998
2012;Sinister;3;0;3043916;48790826;89012016
2012;Skyfall;4;0;202927713;308815675;1124923772
2012;Snow White and the Huntsman;5;1;172488556;157407735;406779965
2012;Sparkle;5;1;10146386;24754613;25021315
2012;Spring Breakers;5;1;5073193;14331045;31118489
2012;Step Up Revolution;5;1;33483073;35588120;167975738
2012;Supporting Characters;3;0;60878;4989;4989
2012;Ted;3;0;50731928;221866693;557487654
2012;That's My Boy;2;0;68488103;37471707;58908258
2012;The Amazing Spider-Man;3;0;223220484;265866416;768984693
2012;The Avengers;2;0;60878314;23727745;49296637
2012;The Dark Knight Rises;2;0;279025606;454699213;1095143990
2012;The Devil Inside;5;1;1014639;54041622;103248087
2012;The Dictator;2;0;65951507;60523416;182005391
2012;The Expendables 2;5;1;101463857;86272883;316546185
2012;The Grey;1;0;25365964;52335195;85574308
2012;The Hobbit: An Unexpected Journey;1;0;253659641;307439106;1029557373
2012;The Hunger Games;5;1;81171085;413983383;694530947
2012;The Impossible;3;0;40585543;19298306;172073169
2012;The Man with the Iron Fists;2;0;15219578;15862951;22306925
2012;The Master;2;0;38048946;16484994;25484413
2012;The Pirates! Band of Misfits;2;0;55805121;31505670;124857587
2012;The Place Beyond the Pines;2;0;15219578;21716836;47699629
2012;The Twilight Saga: Breaking Dawn - Part 2;4;0;138193773;296603952;844848985
2012;The Vow;5;1;8866236;126844056;200511006
2012;The Watch;3;0;55805121;34855879;68338951
2012;The Woman in Black;2;0;15219578;55128651;130843627
2012;The Words;2;0;6087831;11663106;12310182
2012;Think Like a Man;5;1;12175663;92887325;97562697
2012;To Rome With Love;3;0;21814729;16928587;75452356
2012;Total Recall;2;0;126829821;59739858;201523449
2012;Underworld: Awakening;5;1;71024700;63233330;162727662
2012;Wanderlust;5;1;32975753;17541229;24513601
2012;What to Expect When You're Expecting;5;1;38048946;41754612;81832836
2012;Won't Back Down;5;1;19278133;5388293;5510995
2012;Wrath of the Titans;2;0;152195785;84894893;306390492
2012;Wreck-It Ralph;5;1;167415363;192185407;480342759
2012;Zero Dark Thirty;5;1;53268525;97121930;139736750
2011;30 Minutes or Less;2;0;28999342;38376408;42428850
2011;50/50;3;0;8285526;36265871;42810004
2011;A Dangerous Method;4;0;20713816;5905595;15336023
2011;A Lonely Place to Die;5;1;4142763; ;458345
2011;"A Very Harold &amp; Kumar 3D Christmas";2;0;20713816;36312387;37560098
2011;Another Earth;5;1;181246;1368348;1844766
2011;Apollo 18;1;0;5178454;18318189;27464261
2011;Arthur Christmas;2;0;88033717;48120751;152893489
2011;Attack the Block;5;1;13463980;1060729;5599381
2011;Bad Teacher;5;1;19678125;103872387;224136189
2011;Battle: Los Angeles;2;0;72498355;86534481;219571833
2011;Beastly;2;0;17606743;28860115;39385487
2011;Blackthorn;2;0;4660609;207716;1294370
2011;Bridesmaids;5;1;33659951;175142277;299587165
2011;Captain America: The First Avenger;2;0;144996710;182959443;383795703
2011;Cars 2;3;0;207138157;198283907;580147769
2011;Circumstance;5;1;932122;470329;470329
2011;Colombiana;2;0;41427631;37974487;74257040
2011;Conan the Barbarian;4;0;20713816;39629760;81937729
2011;Contagion;5;1;62141447;78358394;142460919
2011;Coriolanus;3;0;10356908;776396;1087104
2011;"Cowboys &amp; Aliens";2;0;168817598;103818215;182188693
2011;Detention;5;1;10356908; ; 
2011;Diary of a Wimpy Kid: Rodrick Rules;2;0;18642434;54579387;76325433
2011;Dolphin Tale;3;0;38320559;74866751;99497492
2011;Dream House;5;1;51784539;22062637;41357557
2011;Drive;4;0;15535362;36312033;80840663
2011;Fast Five;5;1;129461348;217326947;652320815
2011;Final Destination 5;3;0;41427631;44107629;163522777
2011;Footloose;5;1;24856579;53651623;65676025
2011;Fright Night;4;0;31070724;18951742;41966863
2011;Green Lantern;2;0;207138157;120762760;239452924
2011;Hall Pass;3;0;37284868;46668987;86680344
2011;Hanna;5;1;31070724;41695999;67675862
2011;Harry Potter and the Deathly Hallows: Part 2;2;0;129461348;394609809;1375512553
2011;Haywire;1;0;23820888;19618465;22967676
2011;Hesher;2;0;7249836;396614;396614
2011;Higher Ground;5;1;1864243;871074;889847
2011;Hobo with a Shotgun;1;0;3107072;728476;864753
2011;Hop;3;0;65248520;111942955;191524428
2011;Horrible Bosses;5;1;36249178;121733603;222195609
2011;Hugo;4;0;186424342;76500789;191637196
2011;I Am Number Four;2;0;51784539;57067015;151193038
2011;Immortals;3;0;77676809;86484341;219113265
2011;In Time;2;0;36249178;38894261;176134406
2011;Iris;5;1;5696299;5779651;15695916
2011;Jin ling shi san chai;5;1;103569079;322549;97066426
2011;Johnny English Reborn;4;0;46606085;8602417;170412210
2011;Jumping the Broom;5;1;7249836;38626496;39520511
2011;Just Go with It;4;0;82855263;106705263;222647578
2011;Kill List;4;0;828553;30100;478703
2011;Killer Elite;1;0;72498355;26021717;59839216
2011;Kung Fu Panda 2;5;1;155353618;171146932;688566122
2011;Le Havre;4;0;5696299;633541;13961315
2011;Like Crazy;5;1;258923;3516575;3864669
2011;Limitless;2;0;27963651;82077930;175797590
2011;Margaret;5;1;14499671;48869;48869
2011;Margin Call;2;0;3521349;5544660;18510079
2011;Mars Needs Moms;4;0;155353618;22156282;40961320
2011;Martha Marcy May Marlene;5;1;1035691;3087434;3657064
2011;Melancholia;5;1;9735493;3139021;18688080
2011;Midnight in Paris;5;1;31070724;58844493;160342190
2011;Mission: Impossible - Ghost Protocol;2;0;150175164;216871479;719508092
2011;Moneyball;2;0;51784539;78303911;115142275
2011;Mr. Popper's Penguins;2;0;56962993;70659436;196392298
2011;New Year's Eve;5;1;26927960;56491379;148791377
2011;No Strings Attached;5;1;25892270;73184210;154554145
2011;October Baby;5;1;1035691;5547001;5547001
2011;Our Idiot Brother;5;1;5178454;25700491;26784257
2011;Paranormal Activity 3;5;1;5178454;107741677;214429259
2011;Paul;5;1;41427631;38748242;103755310
2011;Pirates of the Caribbean: On Stranger Tides;2;0;258922697;249667634;1080913060
2011;Priest;2;0;62141447;30176535;87157549
2011;Puss in Boots;2;0;134639802;154587729;574795417
2011;Rango;2;0;139818256;127656741;254266825
2011;Real Steel;2;0;113925987;88513562;303703179
2011;Red Riding Hood;5;1;43499013;39006354;93523336
2011;Red State;5;1;4142763;1103455;1103455
2011;Restless;5;1;8285526;169597;2918985
2011;Rio;2;0;93212171;148745713;504919774
2011;Rise of the Planet of the Apes;2;0;96319243;183068895;500093845
2011;Shame;2;0;6731990;4145138;11166495
2011;Snow Flower and the Secret Fan;5;1;6214145;1396324;11753231
2011;Soul Surfer;5;1;18642434;45418587;48841781
2011;Source Code;2;0;33142105;56664949;145440503
2011;Straw Dogs;5;1;25892270;10692928;11655479
2011;Sucker Punch;5;1;77676809;37691379;92961937
2011;Super 8;5;1;51784539;131537058;269379017
2011;Take Shelter;5;1;4919531;1790661;3240628
2011;The Adjustment Bureau;4;0;51991677;64726164;132354553
2011;The Adventures of Tintin;2;0;134639802;80361144;387342089
2011;The Artist;2;0;16571053;46261299;132834295
2011;The Best Exotic Marigold Hotel;5;1;10356908;48039108;139537943
2011;The Cabin in the Woods;4;0;31070724;43574905;73293915
2011;The Darkest Hour;5;1;36042039;22208829;65074228
2011;The Divide;5;1;3107072;18642;18642
2011;The Future;5;1;1035691;588958;588958
2011;The Girl with the Dragon Tattoo;2;0;93212171;106174662;241492267
2011;The Green Hornet;2;0;113925987;102305579;236120048
2011;The Guard;2;0;6214145;5551069;16513705
2011;The Help;5;1;25892270;175762513;220726425
2011;The Iron Lady;5;1;14499671;31028712;119717677
2011;The Lincoln Lawyer;2;0;41427631;60079594;90255363
2011;The Mechanic;1;0;44016858;30160867;79072292
2011;The Muppets;2;0;46606085;91789051;166717137
2011;The Rite;4;0;38320559;34227129;99475649
2011;The Roommate;5;1;16571053;38631377;41942847
2011;The Smurfs;5;1;113925987;147704169;583162839
2011;The Three Musketeers;3;0;93212171;21105217;144870266
2011;The Tree of Life;1;0;36249178;13780555;64529403
2011;The Twilight Saga: Breaking Dawn - Part 1;5;1;132050575;291326492;735276926
2011;Thor;5;1;155353618;187491749;465363438
2011;Tinker Tailor Soldier Spy;2;0;21749507;25011304;84359926
2011;Tower Heist;2;0;88033717;80832113;158947830
2011;Transformers: Dark of the Moon;5;1;201959703;364967639;1163903170
2011;War Horse;2;0;72498355;82734459;162412399
2011;Warrior;2;0;25892270;14144548;25079651
2011;We Bought a Zoo;3;0;51784539;78323650;123169061
2011;Weekend;2;0;196781;501887;1633890
2011;What's Your Number;5;1;20713816;14511151;31807187
2011;Winnie the Pooh;1;0;31070724;27645535;51935343
2011;X-Men: First Class;5;1;165710526;151633733;368093107
2011;Young Adult;5;1;12428289;16893744;23562334
2011;Your Sister's Sister;5;1;124283;1654502;3200899
2010;127 Hours;4;0;19228173;19586277;64879307
2010;Alice in Wonderland;5;1;213646368;356993585;1094287202
2010;Animal Kingdom;2;0;4486574;1115276;8629906
2010;Another Year;5;1;8545855;3424437;19768384
2010;Barney's Version;5;1;32046955;8014473;9449125
2010;Beginners;2;0;3418342;6186017;12353318
2010;Biutiful;2;0;37388114;5449304;26813941
2010;Black Swan;5;1;13887014;114252393;353869648
2010;Blue Valentine;3;0;1068232;10402326;17696585
2010;Burlesque;5;1;58752751;42131764;95774887
2010;Casino Jack;2;0;13352898;2179053;2222851
2010;Centurion;2;0;16023478;132001;7075508
2010;Charlie St. Cloud;2;0;47002201;33335524;51785833
2010;Clash of the Titans;4;0;133528980;174351340;526867848
2010;Conviction;5;1;13352898;7261515;10824983
2010;Cop Out;2;0;39524578;47937418;59724746
2010;Country Strong;5;1;16023478;21598495;21953741
2010;Cyrus;2;0;7477623;7978555;10724926
2010;Date Night;5;1;58752751;105446665;162658630
2010;Dear John;1;0;26705796;85474402;118960872
2010;Despicable Me;5;1;73707997;268675247;580578700
2010;Devil;5;1;10682318;35977680;67676882
2010;Diary of a Wimpy Kid;5;1;16023478;68370710;82205045
2010;Dinner for Schmucks;2;0;73707997;78009058;92718787
2010;Don't Be Afraid of the Dark;5;1;26705796;25687431;33703834
2010;Due Date;2;0;69435070;107399007;226186388
2010;Dylan Dog: Dead of Night;1;0;21364637;1267498;6506276
2010;Easy A;5;1;8545855;62386303;81400037
2010;"""Eat"; ; ;205846861; ;64093910
2010;Edge of Darkness;2;0;64093910;46269276;86749716
2010;Everything Must Go;2;0;5341159;2897185;2897185
2010;Fair Game;5;1;53411592;12281992;27878177
2010;Faster;1;0;12818782;24825729;38091703
2010;For Colored Girls;5;1;22432869;40304065;40611902
2010;Frozen;2;0;160234776;419868647;1073092418
2010;Get Him To The Greek;2;0;42729274;65326144;97696078
2010;Going the Distance;5;1;34183419;19019119;42718768
2010;Green Zone;1;0;106823184;37919386;104177195
2010;Grown Ups;5;1;80117388;173054825;290797736
2010;Gunless;3;0;10575495;489308;489308
2010;Harry Potter and the Deathly Hallows: Part 1;5;1;133528980;316178791;1021656625
2010;Hot Tub Time Machine;2;0;38456346;53699864;67522890
2010;How to Train Your Dragon;5;1;176258254;232427199;528636950
2010;I Am Love;5;1;10682318;5346997;16164710
2010;Inception;4;0;170917095;312539208;889393184
2010;Insidious;5;1;1602348;57694294;106685260
2010;Iron Man 2;5;1;181599413;333751233;666108069
2010;It's Kind of a Funny Story;2;0;8545855;6797830;7080589
2010;Kick-Ass;2;0;29910492;51351297;104182018
2010;Knight and Day;3;0;124983125;81637519;280028482
2010;Legion;5;1;27774028;42908822;73552139
2010;Let Me In;2;0;21364637;12962924;30199340
2010;Letters to Juliet;4;0;32046955;56650955;84535576
2010;Love and Other Drugs;3;0;32046955;34575465;109728398
2010;Machete;5;1;13352898;28408179;47356808
2010;Made In Dagenham;5;1;8545855;1170108;16711628
2010;Meek's Cutoff;3;0;2136464;1044487;1997517
2010;Megamind;1;0;138870139;158542540;343850165
2010;Monsters;1;0;534116;253492;6024539
2010;Morning Glory;5;1;42729274;33127720;64137680
2010;Nanny McPhee and the Big Bang;5;1;37388114;31189851;104472930
2010;Never Let Me Go;5;1;16023478;2600773;12294827
2010;Paranormal Activity 2;5;1;3204696;90535754;189624005
2010;"Percy Jackson &amp; the Olympians: The Lightning Thief";4;0;101482025;94825128;241919399
2010;Please Give;5;1;3204696;4308792;4882010
2010;Predators;1;0;42729274;55548791;135915826
2010;Prince of Persia: The Sands of Time;1;0;213646368;96952376;357921415
2010;Rabbit Hole;5;1;5341159;2381151;6238038
2010;Ramona and Beezus;5;1;16023478;27952425;29343924
2010;Red;3;0;64093910;96546967;209843135
2010;Remember Me;5;1;17091709;20369301;60361637
2010;Repo Men;5;1;34183419;14893296;19436733
2010;Robin Hood;4;0;224328687;112684730;344460978
2010;Salt;5;1;138870139;126383971;315890541
2010;Scott Pilgrim vs. the World;5;1;90799707;33768214;51371013
2010;Secretariat;5;1;37388114;63772921;64495830
2010;Sex and the city 2;5;1;101482025;101853441;314787390
2010;Shrek Forever After;2;0;176258254;255026238;807844640
2010;Shutter Island;2;0;85458547;136747492;317084404
2010;Skyline;4;0;10682318;22877632;84062765
2010;Somewhere;4;0;7477623;1907483;15367204
2010;Submarine;2;0;2029641;499507;4894571
2010;Super;2;0;2670580;350077;553731
2010;Takers;2;0;34183419;61684749;75403567
2010;Tangled;5;1;277740279;214524387;626605502
2010;The A-Team;1;0;117505503;82491105;189334662
2010;The Back-up Plan;5;1;37388114;40048019;80417752
2010;The Chronicles of Narnia: The Voyage of the Dawn Treader;5;1;165575935;111509464;446720616
2010;The Conspirator;4;0;26705796;12325477;16992803
2010;The Crazies;5;1;20296405;41793064;58705899
2010;The Debt;5;1;21364637;33304850;49783934
2010;The Expendables;2;0;87595011;110101079;286572606
2010;The Fighter;3;0;11750550;100004670;138082199
2010;The Ghost Writer;3;0;48070433;16601978;70003894
2010;The Illusionist;1;0;17625825;42588953;89509349
2010;The Karate Kid;4;0;42729274;188640789;383593100
2010;The Kids Are All Right;5;1;4272927;22231363;38750611
2010;The Killer Inside Me;2;0;13887014;232102;3864090
2010;The King's Speech;5;1;16023478;148267855;460216888
2010;The Last Airbender;2;0;160234776;140763246;341528548
2010;The Last Exorcism;5;1;1922817;43834199;74953449
2010;The Losers;2;0;26705796;25201119;28536765
2010;The Next Three Days;5;1;32046955;22591662;71844911
2010;The Other Guys;1;0;106823184;127354577;182599780
2010;The Runaways;5;1;10148202;3817511;5638803
2010;The Social Network;2;0;42729274;103578637;240268986
2010;The Sorcerer's Apprentice;2;0;170917095;67459899;229831139
2010;The Spy Next Door;5;1;29910492;25965625;54462053
2010;The Switch;3;0;20296405;29652476;53260400
2010;The Tempest;5;1;21364637;296908;296908
2010;The Tourist;1;0;106823184;72245755;297749724
2010;The Town;2;0;39524578;98476300;162976800
2010;The Twilight Saga: Eclipse;5;1;72639765;321037586;747325041
2010;The Wolfman;2;0;160234776;66433214;152366563
2010;Tiny Furniture;5;1;53412;418399;453089
2010;Toy Story 3;4;0;213646368;443321427;1136341723
2010;Tron Legacy;2;0;213646368;183802922;424689202
2010;True Grit;5;1;37388114;182927231;269490247
2010;Tucker and Dale vs Evil;5;1;5341159;239111;5850485
2010;Unstoppable;4;0;101482025;87128132;181077698
2010;Valentine's Day;5;1;55548056;118024294;232414484
2010;Wall Street: Money Never Sleeps;4;0;74776229;56055056;146808831
2010;Welcome to the Rileys;5;1;10682318;163287;334204
2010;Wild Target;2;0;8545855;116798;116798
2010;Winter's Bone;5;1;2136464;6977159;17232238
2010;Womb;5;1;13887014; ; 
2010;Yogi Bear;1;0;85458547;107085981;216086548
2010;You Again;5;1;21364637;27455751;35079607
2010;You Will Meet a Tall Dark Stranger;5;1;16023478;3469420;36584608
2009;(500) Days of Summer;2;0;8142987;35168338;66015966
2009;17 Again;5;1;43429264;69668214;151432312
2009;2012;2;0;217146319;180353228;856000062
2009;9;1;0;32571948;34471863;52723125
2009;A Perfect Getaway;4;0;15200242;16845625;24771466
2009;A Serious Man;3;0;7600121;10019987;32963430
2009;A Single Man;2;0;7600121;9962673;30555070
2009;Adam;3;0;3474341;2472641;3071090
2009;Adventureland;3;0;10640170;17419505;18613810
2009;Agora;2;0;76001212;672527;42335163
2009;Ajami;3;0;1085732;675172;675172
2009;All About Steve;5;1;16285974;36766024;43567433
2009;An Education;5;1;8142987;13652981;32194912
2009;"Angels &amp; Demons";1;0;162859739;144810370;532959416
2009;Armored;1;0;21714632;17359628;25689537
2009;Astro Boy;4;0;70572554;21227211;47873178
2009;Avatar;3;0;461435929;825707158;3022588801
2009;Away We Go;5;1;22800364;10262276;10974592
2009;Bruno;1;0;45600727;65203101;142000928
2009;Bride Wars;5;1;32571948;63749284;125022454
2009;Bright Star;5;1;9228719;4825683;18740466
2009;Brooklyn's Finest;2;0;18457437;29492371;42596761
2009;Brothers;5;1;28229022;30991293;48905553
2009;Capitalism: A Love Story;2;0;21714632;15594794;20760850
2009;Case 39;5;1;29314753;14398811;31814980
2009;Chloe;3;0;14114511;3338902;10504640
2009;Cloudy with a Chance of Meatballs;2;0;108573160;135575603;257131292
2009;Coco avant Chanel;5;1;24971827;6637983;55170185
2009;Coraline;5;1;65143896;81740638;136842415
2009;Daybreakers;2;0;21714632;32682233;55808316
2009;Dead Snow;3;0;868585;50749;2382117
2009;District 9;2;0;32571948;125560771;233645777
2009;Drag Me to Hell;5;1;32571948;45709979;99223368
2009;Enter the Void;2;0;17371706;366974;366974
2009;Everybody's Fine;3;0;21714632;9998368;9998368
2009;Fantastic Mr. Fox;2;0;43429264;22803533;50485349
2009;"Fast &amp; Furious";2;0;92287186;168358172;394190344
2009;Fired Up!;2;0;21714632;18708557;20203912
2009;Fish Tank;5;1;3257195;406796;6430020
2009;Friday the 13th;3;0;18457437;70574746;99562425
2009;Funny People;2;0;78715541;56300661;78042718
2009;G-Force;2;0;162859739;129676275;312028062
2009;G.I. Joe: The Rise of Cobra;2;0;190003029;163078512;328400169
2009;Gamer;2;0;54286580;22295397;38068663
2009;Get Low;2;0;7600121;9963686;10528267
2009;Harry Brown;2;0;7925841;1974599;6833747
2009;Harry Potter and the Half-Blood Prince;5;1;271432899;327846641;1014525504
2009;He's Just Not That Into You;5;1;43429264;102008450;193683923
2009;I Come with the Rain;1;0;19543169; ;681212
2009;I Love You Phillip Morris;2;0;14114511;2212134;16443063
2009;"""I Love You"; ; ; ;43429264;77564677
2009;Ice Age: Dawn of the Dinosaurs;2;0;97715844;213426283;963009937
2009;Inglourious Basterds;4;0;76001212;131190089;344146212
2009;Invictus;2;0;53200848;40705558;135164207
2009;It's Complicated;5;1;92287186;122400359;243871325
2009;Jennifer's Body;5;1;17371706;17594056;35646920
2009;"Julie &amp; Julia";5;1;43429264;102194949;137503693
2009;Knowing;2;0;54286580;86812530;203964063
2009;Law Abiding Citizen;2;0;57543775;79646802;142404318
2009;Life During Wartime;5;1;4885792;305576;305576
2009;"Micmacs (Micmacs &agrave; tire-larigot)";4;0;45600727;1367688;12764862
2009;Monsters vs Aliens;4;0;190003029;215356519;414410048
2009;Moon;2;0;5428658;5439692;11591350
2009;Mother and Child;5;1;7600121;1205715;5440068
2009;My Bloody Valentine 3D;3;0;15200242;55965069;111564348
2009;My Sister's Keeper;5;1;29857619;53418244;104960933
2009;Nine;3;0;86858528;21363903;58096258
2009;Ninja Assassin;2;0;54286580;41391219;66905911
2009;Nowhere Boy;4;0;2062890;1569280;8452669
2009;Ondine;5;1;13028779;597665;597665
2009;Paa;3;0;4668646;216308;10630704
2009;Pandorum;2;0;43429264;11216534;18493734
2009;Perrier's Bounty;1;0;7165829;899;899
2009;Planet 51;2;0;65143896;45811424;118340524
2009;Precious: Based on the Novel Push by Sapphire;5;1;10857316;51644478;74614567
2009;Public Enemies;2;0;111287489;105429554;228416195
2009;Push;5;1;41257801;34538780;48218998
